"LakeName","Latitude","Longitude","XCO2Dppm","XCH4Dppm","BGAPCRFU","BGAPCugL","TurbFNU","fDOMRFU","fDOMQSU","ODOsat","ODOmgL","pH","DOC","TotalNF","TotalNUF","TotalPF","TotalPUF","NH4","NO3NO2","SRP","Cl"
"PresqueIsleLake",46.2169694351032,-89.7787626176141,320.587116666667,435.3354,-0.0696666666666667,-0.0226666666666667,1.57666666666667,1.5975,5.00066666666667,104.505,8.94116666666667,8.337,4.13,236,253,11,11,83,13,NA,1.58
"RainbowLake",NA,NA,1030.46995,115.9946,NA,NA,NA,NA,NA,NA,NA,NA,12.41,462,527,2,7,20,1,2,0.82
"RestLake",46.1451758598,-89.8809210173667,529.0285,88.3421716666667,0.0225,0.0701666666666667,0.395833333333333,9.0675,26.9411666666667,95.2,8.12983333333333,7.84,5.5,247,296,6,14,6,12,1,1.79
"RoundLake",46.1714421347715,-89.7114148261026,608.004066666667,237.164516666667,0.0313333333333333,0.0798333333333333,2.9435,12.4,36.7288333333333,100.03,9.27133333333333,8.02,5.66,250,367,4,8,6,3,1,0.85
"SparklingLake",46.0077211833559,-89.7003113594837,255.55015,128.71015,-0.0558333333333333,-0.00866666666666667,0.00816666666666667,0.408,1.50366666666667,100.83,8.45316666666667,8.09616666666667,3.23,178,176,12,14,8,2,3,10.85
"SpiderLake",46.1239235362105,-89.828693046394,445.835804435939,170.277532504647,0.0182600145799162,0.0656143794423181,0.956033406232915,8.49541997448515,25.2605075086568,98.7484640058319,8.32304403134682,7.97351250227811,5.248,263.4,334.6,8.2,15.6,5.5,4.25,1.75,1.624
"StormyLake",46.0512309302576,-89.318178860005,297.365766666667,26.8376883333333,-0.0825,-0.0356666666666667,-0.106833333333333,-0.146333333333333,-0.121333333333333,97.8,8.54,7.61083333333333,4.01,285,345,5,7,17,1,1,0.59
"TroutLake",46.0307830595411,-89.6635884060524,299.190684210526,55.6921403508772,-0.147166666666667,-0.101666666666667,-0.0756666666666667,0.8095,2.68366666666667,107.681666666667,8.742,8.25216666666667,2.92,158,176,30,30,5,1,1,2.19
"VandercookLake",45.9810767079003,-89.68575357287,383.4746,106.699116666667,-0.0001666666666667,0.0471666666666667,0.523916666666667,0.86,2.83208333333333,94.8233333333334,7.99583333333334,6.58183333333334,3.395,256,303.5,10,16.5,13,0.5,2.5,0.335
"VanViletLake",46.1957875122316,-89.7552789263427,774.098233333333,700.4134,0.110333333333333,0.159,2.2475,6.61416666666667,19.7353333333333,92.4133333333333,7.65,7.9855,5.13,329,548,8,32,31,22,NA,1.79
"WhiteSandLake",46.0894267433323,-89.5878027440049,328.5356,51.9595983333333,-0.0461666666666667,0.001,0.0866666666666667,1.034,3.3445,97.66,8.612,8.07,3.19,153,180,14,19,8,2,2,0.9
"WildRiceLake",46.0653220512911,-89.7988786422628,1481.71591111111,515.8626,-0.0479444444444444,-0.000611111111111123,0.710111111111112,11.4937222222222,34.0684444444444,94.5822222222222,7.98655555555556,7.52255555555556,5.04333333333333,244.333333333333,332,13,13.6666666666667,7,11.6666666666667,2.66666666666667,2.81333333333333
