"XCO2Dpp" "XCH4Dpp" "TempC" "SPCuScm" "ChlARFU" "ChlAugL" "BGAPCRFU" "BGAPCgL" "TurbFNU" "fDOMRFU" "fDOMQSU" "ODOsat" "ODOmgL" "pH" "Pressps" "XCO2Dppm_h" "XCO2Dppm_t" "XCH4Dppm_h" "XCH4Dppm_t" "TmpC_hy" "TempC_t" "SPCScm_h" "SPCScm_t" "ChlARFU_h" "ChlARFU_t" "ChlAgL_h" "ChlAgL_t" "BGAPCRFU_h" "BGAPCRFU_t" "BGAPCgL_h" "BGAPCgL_t" "TrbFNU_h" "TrbFNU_t" "fDOMRFU_h" "fDOMRFU_t" "fDOMQSU_h" "fDOMQSU_t" "ODOst_h" "ODOst_t" "ODOmgL_h" "ODOmgL_t" "pH_hyd" "pH_tau" "CH4uM" "CH4Sat" "CH4M_hy" "CH4St_h" "CH4uM_t" "CH4St_t" "CO2uM" "CO2Sat" "CO2M_hy" "CO2St_h" "CO2uM_t" "CO2St_t" "Date" "Statistic" "Lake" "LakeDay" "Depth" "NITRATEU" "NITRATEM" "ABS254" "ABS350" "TINT" "TSPEC" "TLAMP"
"11" 74.9941144952196 108.782571997149 0.201058594730475 1.00047623838801 0.0456275170761751 0.184437664047377 0.0134833586520692 0.0135588724683289 0.70470934024157 2.46316719463348 7.23539025645916 2.60129043929515 0.196783977215031 0.0790864946315922 0.296895805512535 73.1610786828854 76.5914840243086 106.258286644405 99.8772732312672 0.199223076731979 0.204113267930308 0.993648182950105 0.998943688306779 0.0460869548125216 0.0477023458932162 0.185898174507186 0.1920507026627 0.0133516233343471 0.017208498414322 0.0135183694970794 0.0173756209458123 0.698139532216088 0.697305277089359 2.47114912942684 2.8139338701483 7.25901257222943 8.26605251891804 2.55014840543042 2.55517916763582 0.193807865490736 0.201903574413778 0.0783653433671385 0.0827881884141572 0.146007248447587 5068.90425003475 0.142507568554081 4950.99204493701 0.133539800935784 4653.67550008432 2.49977527407684 16.6418225469357 2.45911122319318 16.2773197812089 2.58315408004105 17.0405371329314 2015-07-20 "sd" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"12" 0.0644671435812267 0.135485036166645 0.00364241481738482 0.00448878465955836 0.0330455863903159 0.0350640437072794 0.0201315209052341 0.0184947738160706 0.147992407960527 0.102662977098619 0.10398799177671 0.0112959784908307 0.0101452571459038 0.00435555785294856 0.0359124119363809 0.0631374951811863 0.0677078633830402 0.133679402713371 0.139091385888042 0.00360972866997754 0.00369782419404436 0.00445852754581555 0.00448251692324481 0.0531325037908548 0.0550306638507145 0.0607194126818014 0.0627815896662756 NA NA NA NA 0.21387086566477 0.213851954736214 0.112749480971777 0.132599659151897 0.110578252318474 0.128788640216975 0.0110651734153936 0.011077912592796 0.00998662631669367 0.0103851247159589 0.00431558096637052 0.00455065685916797 0.135357499634219 0.135462604645031 0.13348613417083 0.133679402713371 0.138590481779583 0.139091385888042 0.0651486654822445 0.0642639264283568 0.0643637985907189 0.0631374951811863 0.0691809664052067 0.0677078633830402 2015-07-20 "SDL" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"13" 1999 1999 1999 1999 1999 1999 1999 1999 1999 1993 1993 1999 1999 1999 1999 1992 1989 1987 1985 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1997 1998 1998 1986 1989 1986 1989 1996 1996 1997 1997 1996 1994 1997 1997 1987 1987 1985 1985 1997 1997 1992 1992 1991 1989 2015-07-20 "n" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"14" 43.3527066000001 60.2469335999999 0.148260000000002 0.296520000000004 0.044478 0.177912 0.0148259999999999 0.014826 0.51891 1.55673 4.581234 2.37216000000001 0.177912000000001 0.0296519999999994 0.2609376 39.6069177 38.3652402000006 61.9786104 72.7378385999993 0.149742599999999 0.15389388 0.296520000000004 0.296520000000004 0.044478 0.044478 0.177912 0.185325 0.014826 0.0163086 0.014826 0.0177912 0.489258 0.5122383 1.534491 1.5359736 4.49969100000001 4.50117359999999 2.2239 2.179422 0.177911999999999 0.170973431999996 0.0222389999999995 0.0296519999999994 0.0808471769453577 2798.78320213441 0.0817819434425848 2887.82754490996 0.097240863486584 3389.14235912415 1.38498362332029 9.61700489529914 1.33173338669407 8.81198687276512 1.32826460031726 8.53573094411447 2015-07-20 "mad" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"15" 29.2410000000001 40.636 0.100000000000001 0.200000000000003 0.03 0.12 0.00999999999999995 0.01 0.35 1.05 3.09 1.60000000000001 0.120000000000001 0.0199999999999996 0.176 26.7145 25.8770000000004 41.804 49.0609999999995 0.100999999999999 0.1038 0.200000000000003 0.200000000000003 0.03 0.03 0.12 0.125 0.01 0.011 0.01 0.012 0.33 0.3455 1.035 1.036 3.035 3.03599999999999 1.5 1.47 0.119999999999999 0.115319999999997 0.0149999999999997 0.0199999999999996 0.054530673779413 1887.75340761797 0.055161165144061 1947.81299400375 0.065588063865226 2285.94520377995 0.934158655955951 6.48658093572045 0.89824186341162 5.94360371830913 0.895902199053868 5.75727164718364 2015-07-20 "MADM" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"16" -0.89096907093207 1.49767537576552 1.16133186330765 1.73102453518843 -0.195568087387825 -0.191701913744671 -0.0256892150499752 -0.0384490804688972 -0.287406011238536 -0.489344242884999 -0.489320473468363 0.333342251595729 0.198989045884006 1.67209266716354 -0.512043448473864 -1.02131933974429 -1.23191158515718 1.55318966915296 1.79313384484325 1.12987891499528 1.12444176412196 1.73695902629685 1.73657585479277 -0.196930421750445 -0.175823877626191 -0.19008481927002 -0.168472636732076 -0.0778104456867244 0.00700319961640637 -0.0953765825944272 0.0222887890094281 -0.299567927794623 -0.298850029887914 -0.544624866335424 -0.182883611040703 -0.544610681840447 -0.182846545431883 0.346487312774079 0.375660933421822 0.201559461801991 0.278333744056335 1.70571911033848 1.97377605670128 1.47638473126784 1.49692169730571 1.5314621490317 1.55318966915296 1.76779413301849 1.79313384484325 -0.971836335184914 -0.890849984366693 -1.08940071563241 -1.02131933974429 -1.2661932612663 -1.23191158515717 2015-07-20 "skewness" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"17" 524.997634566711 245.774217251101 23.760389796398 95.4393947720238 0.59276990260084 2.26913432353427 0.285722033812445 0.314469808277411 2.20901185792075 12.6638031783795 36.9904237555661 98.6103758043644 8.33335903085664 7.78559391957854 3.63332239325486 526.220869481847 524.845895422111 243.423378059775 230.757034203075 23.761400207532 23.7589114331306 95.438173523078 95.4476054797121 0.382209134925558 0.370054383908604 1.31679366396814 1.3238200312116 -0.0238089669817988 -0.0239709943678501 0.0250595962212577 0.0236101846287135 1.69885962767596 1.70575270116164 11.8891498002295 11.5916313712728 35.2280356630224 34.3560900629954 98.7032494732128 98.7435514323017 8.3389897684377 8.34136357325227 7.78562440902272 7.78431555651576 0.331150212548808 11457.3498794314 0.327870704887362 11655.4617413168 0.310831326491636 10801.6571002621 17.4264921042731 116.8631784691 17.4590346563137 126.31615431907 17.4179611285991 116.759813672178 2015-07-20 "loc" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"18" 81.9962542308808 56.6914450921843 0.137037694883814 0.282034785109454 0.0469489843099308 0.17585559513298 0.013490985558487 0.0136964213748994 0.728546014492389 2.64845590550539 7.77955943763706 2.41076932457341 0.188041973149894 0.0462544735923857 0.27826117356699 80.5830808181205 84.8677971336364 55.4273945784213 66.6356727133701 0.136349824130265 0.137018516150584 0.279612957958362 0.337893090485452 0.0524638760943951 0.0575903545245608 0.190712941887624 0.185680622812481 0.0137654137201641 0.0161114035368599 0.0141746341594653 0.0158501068460532 0.723083257307531 0.723057469667898 2.66518150266723 3.12493309436785 7.82962201502538 9.18766327976721 2.3695573128739 2.36664202227852 0.185611399065224 0.190882710074627 0.0445775376865191 0.0454656664622266 0.0765597432588616 2643.67332412049 0.0747243176090569 3858.65527671485 0.0895526857521045 3116.98940240871 2.73449914336418 18.2016290329954 2.70381062320416 14.4934206408558 2.84756922147676 18.8896482762362 2015-07-20 "scale" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"19" -0.271407227285236 0.338351715586982 0.124068786003181 0.589820823782042 -0.307131789533576 -0.307997499912128 -0.23067195320251 -0.271391749550443 -0.28533914542907 -0.320286524711723 -0.320273371723484 -0.171887387483003 -0.210250991460939 0.133558311780402 -0.53682124956866 -0.271843470833281 -0.286424918082206 0.332734192632316 0.0692595625060648 0.123115098712402 0.142894932470303 0.58869037602165 0.43398705061533 -0.377565601353431 -0.356164218015773 -0.306556790921007 -0.303012639079307 -0.252283546563967 -0.263731880165274 -0.293838654051178 -0.251408596207133 -0.284919906585512 -0.287024846619078 -0.314604551769051 -0.189031274956343 -0.314563976526706 -0.189202662807706 -0.172061650805304 -0.165817848346073 -0.209815062886318 -0.186445131667347 0.147556986009704 0.163423092456226 0.334083112973676 0.337213145732655 0.329417944997147 0.300932506199374 0.0670435153083104 0.0675287982491379 -0.292026543637986 -0.270981841746743 -0.295048960636634 -0.264015477884543 -0.310400344667737 -0.286491426492116 2015-07-20 "shape" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
"20" 0.135601788489517 0.359961630259403 0.00842727789816522 0.0104280722126795 0.0749861525344465 0.0794671218333511 0.0461907628624321 0.0424544367654863 0.286479445378467 0.182645207240358 0.18361203543047 0.0261033061882197 0.0234007569487821 0.0101126767559733 0.0806666831426003 0.132112429738224 0.138383492958283 0.356349796185007 0.363928286046386 0.00835022608732567 0.00855480900332708 0.0103574766920814 0.010413688030386 0.11864239147215 0.12282809992941 0.134648237093631 0.139151186444536 -0.735333474867377 -0.933393515795887 0.461710003175433 0.599093826392809 0.358460977246157 0.357008202901066 0.194199469007188 0.221140993849957 0.192625555135303 0.219351330417593 0.0255718193691019 0.0256101027753452 0.023034589135958 0.023975621975666 0.0100207905533576 0.0105858618323625 0.358849654144934 0.359860758669857 0.355096259012219 0.356349796185007 0.361635868190615 0.363928286046386 0.13634060301706 0.135204097889422 0.133971871328503 0.132112429738224 0.140787939503938 0.138383492958283 2015-07-20 "CV" "AlderLake" "AlderLake_2015-07-20" NA NA NA NA NA NA NA NA
