"Min.","1st Qu.","Median","Mean","3rd Qu.","Max.","sd","Variable"
58.91,65.05,65.31,65.26,65.51,66.84,0.395860188851814,"CO2St_t"
10.33,10.81,10.83,10.83,10.85,11.19,0.0447967089960458,"CO2uM_t"
2789,3324,3372,3394,3456,4616,117.332973880852,"CH4St_t"
0.07846,0.1006,0.1031,0.1035,0.1059,0.1284,0.0039727611592713,"CH4uM_t"
20.09,20.13,20.14,20.14,20.15,20.19,0.0112858331180437,"TempC_t"
